accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-09-05,11:42:42,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-29,03:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-02,05:36:36,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-10,14:52:52,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-06-27,00:48:48,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-01,01:36:36,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-29,07:03:03,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-10,10:45:45,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-14,05:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-25,13:40:40,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-25,10:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-11,06:56:56,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-09,03:54:54,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-10,09:51:51,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-28,11:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-04,12:15:15,ศรีรัช,ปกติ,4,4,0,0,ขับรถเร็วเกินไป
2015-11-09,23:09:09,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-25,23:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-02,04:55:55,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2015-11-12,01:40:40,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-23,19:53:53,ศรีรัช,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2016-02-01,05:34:34,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-14,20:58:58,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2015-12-09,00:37:37,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-04,17:07:07,ศรีรัช,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2016-04-23,10:18:18,ศรีรัช,ปกติ,2,7,0,0,ขับรถเร็วเกินไป
2015-10-22,12:53:53,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-17,10:20:20,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-25,10:31:31,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-25,12:59:59,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-05,10:14:14,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-21,04:35:35,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-02-11,15:49:49,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-21,18:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-17,10:10:10,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-09,12:22:22,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-27,23:21:21,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-09-01,03:31:31,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-05,08:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-10,01:06:06,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-23,00:20:20,ศรีรัช,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2016-02-27,23:01:01,ศรีรัช,ปกติ,3,0,0,0,ขับรถเร็วเกินไป
2015-11-09,06:25:25,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-06-21,03:23:23,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-09-05,00:45:45,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
